band_digits,family,sample_index,seed,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
24,prime_square,0,1729,64,"2","12",3,24,79,23.622548601235577408907297,4193229198498230,9849823070694369,1.544278764191842990118989e-12,11.811274300617788704453649,ok
24,prime_square,1,1729,64,"2","12",3,24,78,23.433263450268051959831135,2711836178040552,7804055233203809,1.920296431509635056390881e-12,11.716631725134025979915568,ok
24,prime_square,2,1729,64,"2","12",3,24,79,23.742493178747202481493359,5527047268111737,6811173750280289,1.345096400850918557250117e-12,11.871246589373601240746679,ok
24,prime_square,3,1729,64,"2","12",3,24,80,23.845721614934060112776599,7010058059328297,5932829796617089,1.194370842148525845992401e-12,11.922860807467030056388299,ok
24,prime_cube,0,1729,64,"3","8",4,24,78,23.238318724482249074641791,1731086320509988,2050998894273743,5.776719439995307085729864e-24,23.238318724482249074641791,ok
24,prime_cube,1,1729,64,"3","8",4,24,78,23.432053158245769344194985,2704289352611953,5261195354439249,3.697829150694041687250230e-24,23.432053158245769344194985,ok
24,prime_cube,2,1729,64,"3","8",4,24,78,23.454375428307500676913338,2846921080966243,8096624304803553,3.512566634480084326282785e-24,23.454375428307500676913338,ok
24,prime_cube,3,1729,64,"3","8",4,24,79,23.588143998300785530666508,3873860685858420,8585842090994321,2.581404136835671650367147e-24,23.588143998300785530666508,ok
24,squarefree_3,0,1729,64,"1,1,1","8,8,8",8,24,79,23.645479854141277362405800,4420586103823619,0382361936818249,1.157605116292983591291761e-71,70.936439562423832087217401,ok
24,squarefree_3,1,1729,64,"1,1,1","8,8,8",8,24,77,23.095764761948604392710439,1246708044891528,4489152809736157,5.160665546743775129896687e-70,69.287294285845813178131318,ok
24,squarefree_3,2,1729,64,"1,1,1","8,8,8",8,24,79,23.676560037986273076188195,4748539314332410,1433241004854541,9.339419563126366988368037e-72,71.029680113958819228564585,ok
24,squarefree_3,3,1729,64,"1,1,1","8,8,8",8,24,77,23.070354970978865897510509,1175858251054543,5105454362039073,6.150849305949950263129519e-70,69.211064912936597692531528,ok
24,squarefree_6,0,1729,64,"1,1,1,1,1,1","4,4,4,4,4,5",64,24,80,23.879450098021809745765550,7576176749031071,4903107143019883,5.458168784136025756040247e-741,740.262953038676102118732050,ok
24,squarefree_6,1,1729,64,"1,1,1,1,1,1","4,4,4,4,4,5",64,24,80,23.838108259999362298789372,6888239835134904,3513490442187811,1.043864047588320480704380e-739,738.981356059980231262470521,ok
24,squarefree_6,2,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,24,77,23.175972760678339290487618,1499590776935509,7693550948916287,3.506262436115314010184503e-719,718.455155581028518005116161,ok
24,squarefree_6,3,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,24,78,23.327919943482697534209368,2127746787490954,8749095440139623,6.830960153969674565051786e-724,723.165518247963623560490420,ok
24,smooth_4321,0,1729,64,"4,3,2,1","2,2,3,6",120,24,80,23.846601761043888304079921,7024279127711826,2771182690771013,1.123300878184149925942256e-1407,1406.949503901589409940715333,ok
24,smooth_4321,1,1729,64,"4,3,2,1","2,2,3,5",120,24,79,23.493783895564558759600474,3117338014280390,1428039000870813,7.357836985149287784787387e-1387,1386.133249838308966816427968,ok
24,smooth_4321,2,1729,64,"4,3,2,1","2,2,3,6",120,24,77,23.073274710484076486602186,1183790118601733,1860173332329793,4.751077135839153539344291e-1362,1361.323207918560512709528960,ok
24,smooth_4321,3,1729,64,"4,3,2,1","2,2,3,6",120,24,79,23.729699460341048103213279,5366602891858641,9185864117651527,8.866083964400228555004571e-1401,1400.052268160121838089583438,ok
25,probable_prime,0,1729,64,"1","25",2,25,82,24.481607233600750094487726,3031148639918527,9918527374544547,1,0.000000000000000000000000,ok
25,probable_prime,1,1729,64,"1","25",2,25,83,24.917688271598649620885559,8273480956483031,6483031044417001,1,0.000000000000000000000000,ok
25,probable_prime,2,1729,64,"1","25",2,25,81,24.094474646384654965335783,1243010068219727,8219727773992493,1,0.000000000000000000000000,ok
25,probable_prime,3,1729,64,"1","25",2,25,82,24.539055143378333042028356,3459833053405547,3405547780511707,1,0.000000000000000000000000,ok
25,semiprime_balanced,0,1729,64,"1,1","13,13",4,25,81,24.173067797039755044896752,1489593597713544,7713544564470473,6.713240453872469058522684e-25,24.173067797039755044896752,ok
