band_digits,family,supported,samples_requested,samples_built,d_value,unit_z_count,subunit_z_count,min_neg_log10_z,median_neg_log10_z,max_neg_log10_z,status
8,squarefree_6,true,4,4,64,0,4,220.716938473697126710248995,236.747839524971112723505939,246.020831505977866981993429,ok
8,smooth_4321,true,4,4,120,0,4,424.749599282729889182519400,442.380421521750122337834910,451.053885995047835422155913,ok
9,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
9,semiprime_balanced,true,4,4,4,0,4,8.570381682790991106912770,8.707288138121084486442669,8.838091311857677823127233,ok
9,prime_square,true,4,4,3,0,4,4.166814798790912099946127,4.231832952026004512902091,4.480337571147283703965059,ok
9,prime_cube,true,4,4,4,0,4,8.094301636870170568727190,8.551783174827017219854497,8.837882110732705243094642,ok
9,squarefree_3,true,4,4,8,0,4,24.337179824808615080655727,25.014351866884123154477493,26.275086743117633147903689,ok
9,squarefree_6,true,4,4,64,0,4,253.972772573080789015875780,264.927586255333949338819366,272.839945021511482536880067,ok
9,smooth_4321,true,4,4,120,0,4,476.472199416667592686280841,511.360124041223400581657188,522.779550018566283142718021,ok
10,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
10,semiprime_balanced,true,4,4,4,0,4,9.158222599298708743731368,9.511734674209588291660111,9.582422033071189559905179,ok
10,prime_square,true,4,4,3,0,4,4.607765888226279749062542,4.871437479874760612119644,4.979470977805924292169948,ok
10,prime_cube,true,4,4,4,0,4,9.223352156863773743111778,9.575533780349857693181548,9.989413566492208573777134,ok
10,squarefree_3,true,4,4,8,0,4,27.075383398726511785525872,28.457260106926625553569465,29.174672118901280981617674,ok
10,squarefree_6,true,4,4,64,0,4,296.929717851121495186816901,299.511895516605022748990450,305.934471557209860748116625,ok
10,smooth_4321,true,4,4,120,0,4,540.979708357716276623250451,561.651255680296799255302176,588.895315116298775137693156,ok
11,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
11,semiprime_balanced,true,4,4,4,0,4,10.107479619537482307123355,10.826187078488956672117638,10.960187452360251825211890,ok
11,prime_square,true,4,4,3,0,4,5.024005133003075940223425,5.231896726022510435427648,5.357189430715385114467608,ok
11,prime_cube,true,4,4,4,0,4,10.029043491452302561128818,10.487187408788038567308831,10.716173969778914454309415,ok
11,squarefree_3,true,4,4,8,0,4,31.784567450221317130854004,32.632612425848975590270129,32.805944509629810568185349,ok
11,squarefree_6,true,4,4,64,0,4,311.127730698241578011220554,316.070846779252860869746655,328.310396876770198559825076,ok
11,smooth_4321,true,4,4,120,0,4,597.352146615448759803257417,609.845541356746025485335849,646.148340891720636136597022,ok
12,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
12,semiprime_balanced,true,4,4,4,0,4,11.303372143218810563780607,11.527161027624822864368070,11.771707245005785580360680,ok
12,prime_square,true,4,4,3,0,4,5.512125162271914291522990,5.747879524080307334088502,5.983447210843745089903223,ok
12,prime_cube,true,4,4,4,0,4,11.084078778994452818551508,11.629512172972951589144941,11.887534180522790094869379,ok
12,squarefree_3,true,4,4,8,0,4,33.333794044779658349852980,33.707175631053416964277858,34.207575760950660992421035,ok
12,squarefree_6,true,4,4,64,0,4,348.098182883953768396168016,356.786854587201560207176954,369.529176750913677551579894,ok
12,smooth_4321,true,4,4,120,0,4,676.389127917222253927320708,685.446557896253125363728032,707.293760762219903881486971,ok
13,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
13,semiprime_balanced,true,4,4,4,0,4,12.901242263215024763667316,12.982002797033123542291833,12.993608392261748463170079,ok
13,prime_square,true,4,4,3,0,4,6.285679479337299646601878,6.368539846443333374281792,6.462887875245750812780443,ok
13,prime_cube,true,4,4,4,0,4,12.420297974552383379887033,12.447806014595441226333605,12.941158858485279026240278,ok
13,squarefree_3,true,4,4,8,0,4,36.003815310736307253591804,37.062435956868661435237300,38.547491442132688632682402,ok
13,squarefree_6,true,4,4,64,0,4,376.259545302843889658106491,388.075794487735095117386663,402.958873704609118249209132,ok
13,smooth_4321,true,4,4,120,0,4,723.612295830665289031458087,739.371046184864553652005270,756.941832395706228453491349,ok
