band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
11,squarefree_6,0,64,"1,1,1,1,1,1","2,2,2,2,2,4",64,11,34,10.000271192711172222350035,10006246393,10006246393,9.808283854335163542836674e-311,310.008406974046338892851076,ok
11,squarefree_6,1,64,"1,1,1,1,1,1","2,2,2,2,2,4",64,11,34,10.000271192711172222350035,10006246393,10006246393,9.808283854335163542836674e-311,310.008406974046338892851076,ok
11,squarefree_6,2,64,"1,1,1,1,1,1","2,2,2,2,2,4",64,11,34,10.000271192711172222350035,10006246393,10006246393,9.808283854335163542836674e-311,310.008406974046338892851076,ok
11,squarefree_6,3,64,"1,1,1,1,1,1","2,2,2,2,2,4",64,11,34,10.000271192711172222350035,10006246393,10006246393,9.808283854335163542836674e-311,310.008406974046338892851076,ok
11,smooth_4321,0,64,"4,3,2,1","1,1,2,6",120,11,34,10.000072616999332286702319,10001672208,10001672208,9.901832990962674614384147e-591,590.004284402960604915436850,ok
11,smooth_4321,1,64,"4,3,2,1","1,1,2,6",120,11,34,10.000072616999332286702319,10001672208,10001672208,9.901832990962674614384147e-591,590.004284402960604915436850,ok
11,smooth_4321,2,64,"4,3,2,1","1,1,2,6",120,11,34,10.000072616999332286702319,10001672208,10001672208,9.901832990962674614384147e-591,590.004284402960604915436850,ok
11,smooth_4321,3,64,"4,3,2,1","1,1,2,6",120,11,34,10.000072616999332286702319,10001672208,10001672208,9.901832990962674614384147e-591,590.004284402960604915436850,ok
12,probable_prime,0,64,"1","12",2,12,37,11.000000000013028834456902,100000000003,100000000003,1,0.000000000000000000000000,ok
12,probable_prime,1,64,"1","12",2,12,37,11.000000000013028834456902,100000000003,100000000003,1,0.000000000000000000000000,ok
12,probable_prime,2,64,"1","12",2,12,37,11.000000000013028834456902,100000000003,100000000003,1,0.000000000000000000000000,ok
12,probable_prime,3,64,"1","12",2,12,37,11.000000000013028834456902,100000000003,100000000003,1,0.000000000000000000000000,ok
12,semiprime_balanced,0,64,"1,1","6,6",4,12,37,11.000003908359145247024532,100000899937,100000899937,9.999910007109879315565384e-12,11.000003908359145247024532,ok
12,semiprime_balanced,1,64,"1,1","6,6",4,12,37,11.000003908359145247024532,100000899937,100000899937,9.999910007109879315565384e-12,11.000003908359145247024532,ok
12,semiprime_balanced,2,64,"1,1","6,6",4,12,37,11.000003908359145247024532,100000899937,100000899937,9.999910007109879315565384e-12,11.000003908359145247024532,ok
